iter	Passed	Remaining
418	2958	4101
419	2959	4087
420	2964	4076
421	2978	4079
422	2982	4068
423	2997	4071
424	2998	4057
425	3007	4052
426	3008	4037
427	3009	4022
428	3012	4009
429	3015	3996
430	3023	3990
431	3026	3978
432	3028	3966
433	3030	3952
434	3031	3938
435	3036	3927
436	3037	3913
437	3039	3899
438	3040	3885
439	3041	3871
440	3043	3857
441	3044	3843
442	3048	3832
443	3053	3824
444	3055	3810
445	3056	3797
446	3058	3783
447	3076	3790
448	3078	3777
449	3089	3776
450	3110	3786
451	3124	3788
452	3139	3790
453	3142	3779
454	3144	3766
455	3152	3760
456	3154	3747
457	3156	3735
458	3159	3723
459	3171	3723
460	3176	3713
461	3183	3707
462	3198	3709
463	3225	3726
464	3227	3713
465	3232	3703
466	3242	3700
467	3244	3687
468	3245	3674
469	3248	3662
470	3274	3677
471	3276	3665
472	3279	3654
473	3289	3650
474	3291	3637
475	3292	3624
476	3293	3611
477	3296	3600
478	3308	3598
479	3311	3587
480	3312	3574
481	3322	3570
482	3324	3558
483	3326	3546
484	3334	3540
485	3338	3530
486	3340	3518
487	3341	3506
488	3356	3506
489	3357	3494
490	3358	3481
491	3371	3481
492	3373	3469
493	3407	3490
494	3417	3486
495	3422	3477
496	3431	3473
497	3434	3461
498	3438	3452
499	3450	3450
500	3454	3440
501	3462	3435
502	3463	3422
503	3465	3410
504	3468	3400
505	3470	3388
506	3480	3384
507	3481	3371
508	3483	3359
509	3484	3348
510	3497	3346
511	3499	3335
512	3502	3324
513	3503	3312
514	3505	3301
515	3507	3289
516	3509	3279
517	3511	3267
518	3519	3261
519	3522	3251
520	3523	3239
521	3525	3228
522	3534	3223
523	3536	3212
524	3543	3205
525	3554	3202
526	3556	3191
527	3557	3180
528	3559	3168
529	3567	3163
530	3570	3153
531	3571	3142
532	3574	3131
533	3579	3123
534	3581	3113
535	3584	3102
536	3586	3092
537	3589	3082
538	3605	3084
539	3615	3079
540	3616	3068
541	3618	3057
542	3619	3046
543	3635	3047
544	3649	3046
545	3653	3037
546	3660	3031
547	3665	3022
548	3666	3012
549	3669	3001
550	3677	2996
551	3681	2988
552	3683	2977
553	3686	2967
554	3694	2962
555	3695	2951
556	3697	2940
557	3700	2931
558	3702	2921
559	3711	2916
560	3713	2905
561	3715	2895
562	3718	2886
563	3779	2921
564	3782	2912
565	3785	2902
566	3793	2896
567	3795	2886
568	3797	2876
569	3798	2865
570	3809	2861
571	3811	2851
572	3812	2841
573	3814	2830
574	3827	2829
575	3838	2825
576	3840	2815
577	3842	2805
578	3843	2794
579	3844	2783
580	3880	2798
581	3885	2790
582	3886	2780
583	3888	2769
584	3899	2766
585	3901	2756
586	3902	2745
587	3904	2735
588	3914	2731
589	3919	2723
590	3940	2727
591	3944	2718
592	3948	2709
593	3950	2699
594	3958	2694
595	3960	2684
596	3962	2674
597	3965	2665
598	3973	2659
599	3975	2650
600	3976	2640
601	3978	2630
602	3979	2620
603	3981	2610
604	3994	2607
605	4000	2600
606	4001	2591
607	4014	2588
608	4030	2587
609	4032	2577
610	4033	2567
611	4035	2558
612	4042	2552
613	4045	2543
614	4048	2534
615	4050	2525
616	4055	2517
617	4056	2507
618	4058	2497
619	4059	2488
620	4061	2478
621	4062	2469
622	4064	2459
623	4065	2450
624	4079	2447
625	4080	2437
626	4081	2428
627	4085	2419
628	4087	2410
629	4089	2401
630	4103	2399
631	4106	2391
632	4114	2385
633	4126	2382
634	4130	2374
635	4141	2370
636	4142	2360
637	4154	2357
638	4156	2348
639	4158	2339
640	4160	2329
641	4162	2320
642	4176	2318
643	4178	2309
644	4186	2304
645	4188	2295
646	4189	2285
647	4190	2276
648	4192	2267
649	4193	2258
650	4202	2252
651	4206	2245
652	4210	2237
653	4220	2232
654	4227	2226
655	4237	2222
656	4239	2213
657	4247	2207
658	4250	2199
659	4254	2191
660	4257	2183
661	4268	2179
662	4274	2172
663	4287	2169
664	4291	2161
665	4297	2155
666	4302	2147
667	4307	2140
668	4319	2137
669	4322	2128
670	4332	2124
671	4334	2115
672	4336	2107
673	4338	2098
674	4345	2092
675	4347	2083
676	4350	2075
677	4352	2067
678	4354	2058
679	4360	2051
680	4362	2043
681	4363	2034
682	4365	2026
683	4367	2017
684	4369	2009
685	4377	2003
686	4379	1995
687	4386	1989
688	4393	1982
689	4396	1975
690	4398	1966
691	4401	1958
692	4402	1950
693	4405	1942
694	4407	1934
695	4408	1925
696	4410	1917
697	4418	1911
698	4421	1903
699	4423	1895
700	4425	1887
701	4426	1878
702	4428	1870
703	4436	1865
704	4441	1858
705	4451	1853
706	4453	1845
707	4455	1837
708	4457	1829
709	4462	1822
710	4463	1814
711	4466	1806
712	4469	1798
713	4471	1790
714	4484	1787
715	4495	1783
716	4497	1775
717	4500	1767
718	4505	1760
719	4515	1755
720	4516	1747
721	4518	1739
722	4519	1731
723	4528	1726
724	4534	1720
725	4546	1715
726	4551	1709
727	4562	1704
728	4564	1696
729	4565	1688
730	4567	1680
731	4578	1676
732	4580	1668
733	4583	1660
734	4584	1652
735	4594	1647
736	4596	1640
737	4606	1635
738	4609	1627
739	4610	1619
740	4613	1612
741	4614	1604
742	4617	1597
743	4743	1632
744	4744	1623
745	4746	1616
746	4753	1609
747	4759	1603
748	4760	1595
749	4769	1589
750	4770	1581
751	4771	1573
752	4773	1565
753	4774	1557
754	4775	1549
755	4787	1545
756	4791	1537
757	4792	1530
758	4793	1522
759	4795	1514
760	4850	1523
761	4876	1523
762	4885	1517
763	4887	1509
764	4889	1502
765	4897	1496
766	4900	1488
767	4903	1481
768	4905	1473
769	4907	1465
770	4908	1457
771	4916	1451
772	4918	1444
773	4919	1436
774	4923	1429
775	4933	1424
776	4934	1416
777	4935	1408
778	4937	1400
779	4938	1392
780	4967	1392
781	4971	1385
782	4972	1378
783	4982	1372
784	4984	1365
785	4985	1357
786	4988	1350
787	4998	1344
788	4999	1336
789	5000	1329
790	5001	1321
791	5003	1313
792	5004	1306
793	5010	1299
794	5011	1292
795	5013	1284
796	5015	1277
797	5018	1270
798	5019	1262
799	5025	1256
800	5029	1249
801	5032	1242
802	5034	1235
803	5040	1228
804	5042	1221
805	5043	1214
806	5045	1206
807	5047	1199
808	5048	1191
809	5050	1184
810	5054	1177
811	5056	1170
812	5061	1164
813	5068	1158
814	5069	1150
815	5072	1143
816	5074	1136
817	5076	1129
818	5078	1122
819	5080	1115
820	5086	1108
821	5088	1101
822	5090	1094
823	5094	1088
824	5101	1082
825	5103	1075
826	5105	1068
827	5107	1061
828	5109	1053
829	5110	1046
830	5118	1041
831	5121	1034
832	5123	1027
833	5124	1019
834	5125	1012
835	5127	1005
836	5129	998
837	5135	992
838	5138	986
839	5142	979
840	5143	972
841	5145	965
842	5151	959
843	5153	952
844	5154	945
845	5158	938
846	5159	932
847	5160	925
848	5162	918
849	5167	911
850	5171	905
851	5173	898
852	5177	892
853	5182	885
854	5184	879
855	5186	872
856	5187	865
857	5189	858
858	5190	852
859	5192	845
860	5197	839
861	5199	832
862	5200	825
863	5213	820
864	5216	814
865	5218	807
866	5223	801
867	5228	795
868	5231	788
869	5233	782
870	5235	775
871	5236	768
872	5237	761
873	5245	756
874	5247	749
875	5248	742
876	5250	736
877	5253	730
878	5254	723
879	5265	717
880	5268	711
881	5279	706
882	5286	700
883	5288	693
884	5289	687
885	5291	680
886	5293	674
887	5295	667
888	5303	662
889	5305	655
890	5306	649
891	5307	642
892	5310	636
893	5311	629
894	5316	623
895	5318	617
896	5319	610
897	5321	604
898	5322	597
899	5323	591
900	5324	585
901	5325	578
902	5326	572
903	5332	566
904	5333	559
905	5334	553
906	5335	547
907	5337	540
908	5339	534
909	5341	528
910	5342	521
911	5349	516
912	5351	509
913	5351	503
914	5353	497
915	5354	491
916	5356	484
917	5357	478
918	5362	472
919	5365	466
920	5367	460
921	5368	454
922	5370	447
923	5371	441
924	5372	435
925	5378	429
926	5381	423
927	5386	417
928	5388	411
929	5393	405
930	5396	399
931	5398	393
932	5399	387
933	5401	381
934	5402	375
935	5404	369
936	5412	363
937	5414	357
938	5416	351
939	5418	345
940	5420	339
941	5428	334
942	5430	328
943	5432	322
944	5433	316
945	5434	310
946	5436	304
947	5437	298
948	5439	292
949	5441	286
950	5448	280
951	5452	274
952	5454	268
953	5455	263
954	5457	257
955	5459	251
956	5467	245
957	5468	239
958	5470	233
959	5472	228
960	5474	222
961	5481	216
962	5483	210
963	5484	204
964	5487	199
965	5490	193
966	5496	187
967	5504	181
968	5505	176
969	5514	170
970	5518	164
971	5519	158
972	5521	153
973	5522	147
974	5527	141
975	5529	135
976	5530	130
977	5532	124
978	5533	118
979	5536	112
980	5552	107
981	5553	101
982	5569	96
983	5583	90
984	5586	85
985	5587	79
986	5595	73
987	5597	67
988	5599	62
989	5600	56
990	5601	50
991	5610	45
992	5612	39
993	5614	33
994	5615	28
995	5617	22
996	5619	16
997	5627	11
998	5628	5
999	5629	0
